count,city,state
97684,Miami,FL
56471,Los Angeles,CA
49657,Orlando,FL
32754,Dallas,TX
28310,Houston,TX
24249,Charlotte,NC
21999,San Diego,CA
20932,Raleigh,NC
19573,Minneapolis,MN
17993,Nashville,TN
17708,Sacramento,CA
17102,Baton Rouge,LA
16102,Portland,OR
15120,New Orleans,LA
15007,Austin,TX
14058,Saint Paul,MN
12846,Phoenix,AZ
12343,Tucson,AZ
11671,Jacksonville,FL
11504,Bakersfield,CA
10943,Riverside,CA
10457,Richmond,VA
9827,San Bernardino,CA
9762,Atlanta,GA
9279,Hialeah,FL
8661,Chattanooga,TN
8652,Anaheim,CA
8624,Fresno,CA
8601,Ontario,CA
8326,Salt Lake City,UT
8186,Tampa,FL
7972,Washington,DC
7852,Rochester,NY
7807,Fort Lauderdale,FL
7668,Columbia,SC
7234,Bronx,NY
7166,Kansas City,MO
7153,Oakland,CA
6877,Long Beach,CA
6568,Fort Myers,FL
6445,Bradenton,FL
6410,Corona,CA
6357,Sarasota,FL
6241,Philadelphia,PA
6142,Greenville,SC
6050,Whittier,CA
6020,Grand Rapids,MI
5947,Shreveport,LA
5873,San Jose,CA
5750,Kissimmee,FL
5718,Pensacola,FL
5527,Seattle,WA
5381,Saint Petersburg,FL
5295,San Francisco,CA
5155,San Antonio,TX
5049,Stockton,CA
4916,Denver,CO
4770,Fort Worth,TX
4767,Indianapolis,IN
4734,New York,NY
4653,North Miami,FL
4496,Chicago,IL
4200,Tulsa,OK
4172,Dayton,OH
4166,Fontana,CA
4152,Detroit,MI
4053,Irvine,CA
3977,Modesto,CA
3964,Brooklyn,NY
3938,Hayward,CA
3921,Ocala,FL
3885,Tracy,CA
3778,Lancaster,PA
3745,Baldwin Park,CA
3698,Santa Ana,CA
3655,Homestead,FL
3615,Flint,MI
3569,Springfield,MO
3478,Pittsburgh,PA
3437,Opa Locka,FL
3435,Silver Spring,MD
3412,Norfolk,VA
3384,Birmingham,AL
3280,Gardena,CA
3279,Colton,CA
3208,Fairfax,VA
3196,Tallahassee,FL
3178,Sherman Oaks,CA
3162,Memphis,TN
3070,Redlands,CA
3046,Hollywood,FL
3000,Henrico,VA
2961,Santa Rosa,CA
2941,North Miami Beach,FL
2917,Frederick,MD
2908,Orange,CA
2903,Ogden,UT
2895,Fredericksburg,VA
2883,La Puente,CA
2880,Madera,CA
2866,Little Rock,AR
2824,Spartanburg,SC
2822,Salinas,CA
2816,Inglewood,CA
2812,Moreno Valley,CA
2808,Clearwater,FL
2800,Virginia Beach,VA
2782,Downey,CA
2779,Compton,CA
2759,Salem,OR
2738,Newark,NJ
2730,Saint Louis,MO
2721,Rowland Heights,CA
2706,Buffalo,NY
2700,Florence,SC
2642,Woodbridge,VA
2634,Chesapeake,VA
2606,Rancho Cucamonga,CA
2564,Escondido,CA
2531,Alexandria,VA
2522,Perris,CA
2471,Tyler,TX
2414,Garden Grove,CA
2408,Pendleton,OR
2394,Hacienda Heights,CA
2393,San Leandro,CA
2370,Livermore,CA
2364,Arlington,VA
2355,Myrtle Beach,SC
2283,Newhall,CA
2275,Hyattsville,MD
2273,Bloomington,CA
2267,York,PA
2259,Oklahoma City,OK
2242,Norwalk,CA
2240,West Palm Beach,FL
2221,Hartford,CT
2202,Tempe,AZ
2201,Cerritos,CA
2164,Chino,CA
2164,Mira Loma,CA
2159,Garner,NC
2148,Eugene,OR
2121,Louisville,KY
2106,North Hollywood,CA
2076,Norristown,PA
2035,West Valley City,UT
2033,Tustin,CA
2028,Bethesda,MD
2011,Costa Mesa,CA
1975,Lexington,SC
1974,Riverview,FL
1965,Winter Park,FL
1943,Manassas,VA
1942,Antioch,TN
1923,Anderson,SC
1919,Ventura,CA
1898,Fallbrook,CA
1897,Fairfield,CA
1885,San Mateo,CA
1883,Los Gatos,CA
1872,Santa Barbara,CA
1859,Syracuse,NY
1854,Pompano Beach,FL
1838,Bonita Springs,FL
1829,Palmdale,CA
