count,street
29025,I-5 N
28571,I-95 N
27579,I-95 S
25294,I-5 S
18275,I-10 E
17697,I-10 W
11608,I-80 W
11601,I-80 E
10140,I-84 E
9573,I-405 N
9459,I-15 S
9059,I-84 W
8959,I-90 W
8780,CA-99 N
8705,I-15 N
7981,I-94 E
7909,I-405 S
7781,CA-99 S
7729,I-40 E
7686,CA-60 W
7642,I-75 N
7503,I-94 W
7257,I-75 S
7100,I-35 N
7036,I-40 W
6929,CA-60 E
6845,I-90 E
6670,I-64 E
6064,CA-91 E
5949,I-64 W
5931,I-81 N
5665,I-70 E
5594,I-81 S
5511,I-35 S
5403,I-70 W
5135,CA-91 W
4955,US-101 N
4852,Escondido Fwy N
4785,US-101 S
4770, S Orange Blossom Trl
4750,Golden State Fwy S
4640,I-880 S
4582,I-20 W
4564,I-65 N
4442, S Dixie Hwy
4245,Florida's Tpke S
4145,I-20 E
4095,I-35W N
4093,Florida's Tpke N
3994,I-580 E
3988,Golden State Fwy N
3966,I-35E N
3944,I-580 W
3925,Escondido Fwy S
3850,I-65 S
3844,I-605 S
3765,I-85 S
3652,I-880 N
3637, SW 137th Ave
3626,I-4 W
3600,I-4 E
3567,I-605 N
3474,I-85 N
3427,I-215 S
3308,I-26 W
3244,Capital Beltway S
3216,I-24 E
3205,Garden State Pkwy N
3204,I-77 S
3183,I-26 E
3182,I-77 N
3127,CA-210 E
3087,I-24 W
2991,New Jersey Tpke N
2832,I-680 N
2829,Garden State Pkwy S
2826,New Jersey Tpke S
2798,Palmetto Expy S
2786,I-66 E
2703, SW 88th St
2667,I-35E S
2648, SW 8th St
2626,Capital Beltway N
2625,Brooklyn Queens Expy
2584,I-215 N
2559, SW 87th Ave
2530,I-25 N
2510,Glenn Anderson Fwy W
2478,I-680 S
2475,Artesia Fwy E
2464,Palmetto Expy N
2450,Artesia Fwy W
2440,Garden Grove Fwy
2405,Harbor Fwy N
2403,Governor John Davis Lodge Tpke
2371, NW 27th Ave
2347,I-25 S
2317,I-87 N
2316,Glenn Anderson Fwy E
2314,Barstow Fwy N
2296,Long Island Expy E
2289,I-275 N
2287, SW 117th Ave
2284, Main St
