count,severity,state
110,1,AL
15845,2,AL
398,3,AL
564,4,AL
11,1,AR
8511,2,AR
206,3,AR
863,4,AR
5611,1,AZ
33398,2,AZ
523,3,AZ
1433,4,AZ
4189,1,CA
590705,2,CA
5550,3,CA
4033,4,CA
425,1,CO
8104,2,CO
5718,3,CO
1942,4,CO
4,1,CT
20700,2,CT
808,3,CT
1613,4,CT
34,1,DC
7329,2,DC
226,3,DC
417,4,DC
7,1,DE
3060,2,DE
205,3,DE
585,4,DE
2691,1,FL
338809,2,FL
4063,3,FL
4641,4,FL
344,1,GA
18196,2,GA
1893,3,GA
2545,4,GA
3,1,IA
6329,2,IA
232,3,IA
816,4,IA
6534,2,ID
51,3,ID
304,4,ID
237,1,IL
12557,2,IL
9605,3,IL
1307,4,IL
36,1,IN
9804,2,IN
1052,3,IN
1421,4,IN
5,1,KS
5322,2,KS
403,3,KS
226,4,KS
31,1,KY
3017,2,KY
257,3,KY
264,4,KY
969,1,LA
41100,2,LA
876,3,LA
642,4,LA
125,1,MA
2147,2,MA
1274,3,MA
241,4,MA
210,1,MD
36834,2,MD
1620,3,MD
3448,4,MD
910,2,ME
16,3,ME
38,4,ME
28,1,MI
26779,2,MI
1549,3,MI
2449,4,MI
29,1,MN
82803,2,MN
1454,3,MN
366,4,MN
62,1,MO
16875,2,MO
1488,3,MO
675,4,MO
4,1,MS
3635,2,MS
96,3,MS
206,4,MS
14291,2,MT
44,3,MT
168,4,MT
1654,1,NC
67401,2,NC
1956,3,NC
2919,4,NC
1662,2,ND
1,3,ND
9,4,ND
26,1,NE
1912,2,NE
144,3,NE
224,4,NE
1,1,NH
1559,2,NH
63,3,NH
64,4,NH
55,1,NJ
35331,2,NJ
1636,3,NJ
2262,4,NJ
46,1,NM
1352,2,NM
33,3,NM
187,4,NM
1,1,NV
3196,2,NV
72,3,NV
182,4,NV
587,1,NY
75999,2,NY
3940,3,NY
4065,4,NY
498,1,OH
9147,2,OH
645,3,OH
1065,4,OH
54,1,OK
5959,2,OK
827,3,OK
71,4,OK
1255,1,OR
93534,2,OR
1479,3,OR
2486,4,OR
146,1,PA
80522,2,PA
2151,3,PA
5063,4,PA
58,1,RI
1777,2,RI
254,3,RI
35,4,RI
50,1,SC
80420,2,SC
379,3,SC
1113,4,SC
129,2,SD
1,3,SD
24,4,SD
1423,1,TN
42794,2,TN
542,3,TN
1054,4,TN
156,1,TX
100152,2,TX
6352,3,TX
2054,4,TX
372,1,UT
32740,2,UT
339,3,UT
526,4,UT
1489,1,VA
84114,2,VA
1901,3,VA
4687,4,VA
175,2,VT
7,3,VT
32,4,VT
487,1,WA
16569,2,WA
1483,3,WA
1545,4,WA
32,1,WI
876,2,WI
674,3,WI
867,4,WI
1,1,WV
5665,2,WV
78,3,WV
227,4,WV
496,2,WY
24,3,WY
138,4,WY
